ID,First Name,Last Name,Email,Password,Annual Gross Income,Federal tax,Ontario tax,CPP,EI,Net Income
1,Ardisj,Rosekilly,arosekilly0@census.gov,AzFVuMv8,220136.0,50888.29,19884.44,3499.8,952.74,144910.73
2,Wain,Tease,wtease1@nps.gov,F9kGvfb8Y,157476.0,32716.89,12891.59,3499.8,952.74,107414.98
3,Annabelle,Bellin,abellin2@baidu.com,97F71VXQgW9A,110544.0,20459.04,8219.51,3499.8,952.74,77412.91
4,Victoir,Coraini,vcoraini3@va.gov,5sOlDKN8yf,39951.0,5992.65,2017.53,2277.21,631.23,29032.38
5,Eveline,Newlove,enewlove4@time.com,KaPWyk,269535.0,67127.08,25397.37,3499.8,952.74,172558.01
6,Randa,Coltart,rcoltart5@biglobe.ne.jp,gJA5wkAs4gR8,292091.0,74570.57,27948.73,3499.8,952.74,185119.16
7,Tiena,Trembley,ttrembley6@spotify.com,ws66tMe,233588.0,55264.57,21385.69,3499.8,952.74,152485.2
8,Annabel,Wooster,awooster7@cnbc.com,ptDPOIgenfNU,277529.0,69765.1,26289.5,3499.8,952.74,177021.86
9,Cassandre,Christoffersen,cchristoffersen8@fastcompany.com,uEAUD8bW1hj,122499.0,23567.34,9313.39,3499.8,952.74,85165.73
10,Geoffry,Oswald,goswald9@jimdo.com,8WAZISHl,228938.0,53730.07,20866.75,3499.8,952.74,149888.64
11,Marrilee,Skirven,mskirvena@parallels.com,iTi8nUC,152522.0,31373.32,12338.72,3499.8,952.74,104357.42
12,Archambault,Owtram,aowtramb@blogspot.com,oSxA96VhS,121350.0,23268.6,9208.26,3499.8,952.74,84420.6
13,Mabelle,Mehew,mmehewc@bravesites.com,WHqxdBRTW82,284231.0,71976.76,27037.45,3499.8,952.74,180764.25
14,Rusty,Thurley,rthurleyd@drupal.org,91iJsq7trb,71887.0,11976.0,4682.39,3499.8,952.74,50776.07
15,Roosevelt,Bahl,rbahle@bing.com,HaygVcGP,241050.0,57727.03,22218.45,3499.8,952.74,156651.98
16,Amelia,Von Welden,avonweldenf@nydailynews.com,gmjehIPXrr,122658.0,23608.68,9327.94,3499.8,952.74,85268.84
17,Ingeborg,Lavender,ilavenderg@nationalgeographic.com,GTAHEz,232572.0,54929.29,21272.3,3499.8,952.74,151917.87
18,Umeko,Matisse,umatisseh@usa.gov,ZDfFs6IM2UrA,284729.0,72141.1,27093.02,3499.8,952.74,181042.34
19,Gay,McGhee,gmcgheei@huffingtonpost.com,9JeFMk,204808.0,46443.17,18173.84,3499.8,952.74,135738.45
20,Harald,Pyrah,hpyrahj@biblegateway.com,Fg36VxHF,226442.0,52906.39,20588.19,3499.8,952.74,148494.88
21,Luz,Rundle,lrundlek@slideshare.net,Aquc9gtIYN,266810.0,66227.83,25093.26,3499.8,952.74,171036.37
22,Fowler,Rain,frainl@live.com,wMIWTEJ9t,176810.0,38323.75,15049.26,3499.8,952.74,118984.45
23,Carver,Banaszkiewicz,cbanaszkiewiczm@webs.com,1SZJ5jvgm,168839.0,36012.16,14159.7,3499.8,952.74,114214.6
24,Dulcie,Treweke,dtreweken@godaddy.com,44jYOhRZ,116511.0,22010.46,8765.49,3499.8,952.74,81282.51
25,Nina,Hansel,nhanselo@cornell.edu,7CAO7pWE,271763.0,67862.32,25646.02,3499.8,952.74,173802.12
26,Tailor,Mooring,tmooringp@ftc.gov,PrPMZ69FycV,187312.0,41369.33,16221.29,3499.8,952.74,125268.84
27,Kahlil,Walczak,kwalczakq@aboutads.info,6LJ04SLHAbqr,169864.0,36309.41,14274.09,3499.8,952.74,114827.96
28,Rhiamon,Greene,rgreener@phpbb.com,4fDkg4,76512.0,12924.12,5105.58,3499.8,952.74,54029.76
29,Nil,Lathan,nlathans@usa.gov,Y8uoduaYpLbX,38684.0,5802.6,1953.54,2204.99,611.21,28111.66
